year,month,site,total_fronds
2016,7,abur,307
2017,7,abur,604
2018,7,abur,3532
2016,7,abur,307
2017,7,abur,604
2018,7,abur,3532
2016,7,abur,307
2017,7,abur,604
2018,7,abur,3532
2016,7,abur,307
2017,7,abur,604
2018,7,abur,3532
2016,7,abur,307
2017,7,abur,604
2018,7,abur,3532
2016,7,abur,307
2017,7,abur,604
2018,7,abur,3532
2016,7,abur,307
2017,7,abur,604
2018,7,abur,3532
2016,7,abur,307
2017,7,abur,604
2018,7,abur,3532
2016,7,abur,307
2017,7,abur,604
2018,7,abur,3532
2016,7,abur,307
2017,7,abur,604
2018,7,abur,3532
2016,7,abur,307
2017,7,abur,604
2018,7,abur,3532
